Date,Open,High,Low,Close,Volume,Adj Close
2012-06-29,87.64,87.93,86.34,87.89,4090300,73.8
2012-07-02,87.51,88.72,86.22,87.29,2592700,73.29
2012-07-03,87.82,90.2,87.69,90.19,2554400,75.73
2012-07-05,89.75,89.94,87.77,87.89,3004300,73.8
2012-07-06,86.62,86.63,84.7,85.53,2900100,71.82
2012-07-09,85.47,86.04,84.33,85.41,2072100,71.72
2012-07-10,86.09,86.32,83.17,83.68,2813800,70.26
2012-07-11,84.08,85.39,83.82,84.2,2915400,70.7
2012-07-12,83.13,83.32,81.8,82.72,3975700,69.46
2012-07-13,83.17,83.92,82.66,83.58,2314200,70.18
2012-07-16,83.17,83.43,81.87,83.37,4089500,70.0
2012-07-17,83.88,86.13,82.94,85.93,3439800,72.15
2012-07-18,85.53,86.44,85.18,85.68,2572600,71.94
2012-07-19,85.86,87.56,85.69,86.92,3253000,73.13
2012-07-20,85.56,86.06,84.76,85.08,3810700,71.58
2012-07-23,82.87,84.27,82.72,83.92,3282100,70.6
2012-07-24,84.11,84.57,81.55,82.67,2350400,69.55
2012-07-25,83.46,83.92,82.44,83.57,2592600,70.31
2012-07-26,85.01,85.38,83.94,85.16,2637100,71.65
2012-07-27,85.59,87.82,85.3,87.57,2277000,73.68
2012-07-30,87.69,88.03,86.97,87.61,2286200,73.71
2012-07-31,87.21,87.61,85.89,86.12,3020100,72.46
2012-08-01,86.71,87.05,85.27,86.86,3351200,73.08
2012-08-02,82.47,83.82,81.58,82.58,5303900,69.48
2012-08-03,84.5,85.0,83.44,84.85,3558300,71.39
2012-08-06,85.31,86.48,85.2,86.02,2654000,72.37
2012-08-07,86.59,88.4,86.54,88.03,2737800,74.06
2012-08-08,87.78,89.33,87.53,88.33,2220000,74.32
2012-08-09,88.01,89.26,87.57,88.5,2135400,74.46
2012-08-10,87.93,88.1,86.52,87.86,2314300,73.92
2012-08-13,87.69,89.04,87.64,87.96,2000600,74.0
2012-08-14,88.5,88.69,87.73,88.05,1354800,74.08
2012-08-15,88.25,88.27,87.26,87.73,1285200,73.81
2012-08-16,88.04,89.03,87.58,88.63,2207200,74.57
2012-08-17,88.87,89.18,88.28,89.06,1837900,74.93
2012-08-20,88.69,89.9,88.53,89.06,2465700,74.93
2012-08-21,89.3,89.64,88.11,88.39,2381100,74.37
2012-08-22,88.02,89.01,87.61,88.7,1730600,74.63
2012-08-23,88.6,88.93,87.43,87.55,1538600,73.66
2012-08-24,87.35,87.75,86.37,87.5,2115600,73.62
